domain,logo,label,error
toptenreviews.com,https://vanilla.futurecdn.net/toptenreviews/media/img/brand_logo.png,JSONLD_LOGO_FOUND,
onstar.com,https://onstar.com/etc.clientlibs/clientlibs/onstar/resources/img/assets/favicon.ico,FAVICON_FOUND,
godish.com,https://godish.com/favicon.ico,FALLBACK_FAVICON_FOUND,
onecallnow.com,https://www.onsolve.com/wp-content/uploads/2024/08/android-chrome-512x512-1-150x150.png,FAVICON_FOUND,
pingdom.com,https://www.pingdom.com/wp-content/uploads/2024/01/cropped-SW_Logo_Stacked_Web_Orange-192x192.png,FAVICON_FOUND,
winegard.com,https://cdn11.bigcommerce.com/s-ltdyg0lu1n/product_images/WinegardFavicon.png,FAVICON_FOUND,
box.net,https://box.net/themes/custom/box/favicons/favicon-16x16.png,FAVICON_FOUND,
quirky.com,https://quirky.com/wp-content/uploads/fbrfg/apple-touch-icon.png,FAVICON_FOUND,
mediatemple.net,https://img6.wsimg.com/ux-assets/favicon/android-icon-192x192.png,FAVICON_FOUND,
good.com,https://good.com/etc.clientlibs/blackberry/clientlibs/clientlib-core/resources/blackberry/apple-touch-icon.png,FAVICON_FOUND,
intercall.com,,FAILURE,"Cannot connect to host intercall.com:443 ssl:False [nodename nor servname provided, or not known]"
niu.edu,https://niu.edu/favicon.ico,FALLBACK_FAVICON_FOUND,
stackexchange.com,https://stackexchange.com/favicon.ico,FALLBACK_FAVICON_FOUND,
optimum.com,https://optimum.com/favicon.ico,FALLBACK_FAVICON_FOUND,
ooma.com,https://www.ooma.com/,JSONLD_LOGO_FOUND,
mophie.com,https://www.mophie.com/cdn/shop/files/spark.png,FAVICON_FOUND,
webnode.com,https://d1rv23qj5kas56.cloudfront.net/img/favicon/favicon-16.svg,FAVICON_FOUND,
kissmetrics.com,https://kissmetrics.com/favicon.ico,FALLBACK_FAVICON_FOUND,
livehelpnow.net,https://livehelpnow.net/,JSONLD_LOGO_FOUND,
tinyurl.com,https://tinyurl.com/images/icons/favicon-192.png,FAVICON_FOUND,
comcast.net,,FAILURE,"Cannot connect to host comcast.net:443 ssl:False [Connect call failed ('96.99.227.0', 443)]"
case-mate.com,https://case-mate.com/cdn/shop/files/CM_Logo_2020_Word_1_782x.png,JSONLD_LOGO_FOUND,
gazeta.pl,https://bi.gazeta.pl/i/obrazki/awd/gazeta_white.png,FAVICON_FOUND,
info.com,https://info.com/wp-content/uploads/ico/apple-touch-icon.png,FAVICON_FOUND,
stumbleupon.com,https://stumbleupon.com/favicon.ico,FAVICON_FOUND,
myfax.com,https://www.myfax.com/,JSONLD_LOGO_FOUND,
vagaro.com,https://vagaro.com/favicon.ico,FALLBACK_FAVICON_FOUND,
ting.com,https://ting.com/favicon.ico,FALLBACK_FAVICON_FOUND,
findthebest.com,,FAILURE,"Cannot connect to host findthebest.com:443 ssl:False [nodename nor servname provided, or not known]"
spigen.com,https://www.spigen.com/cdn/shop/files/logo-spigen.svg,JSONLD_LOGO_FOUND,
justhost.com,https://justhost.com/favicon.ico,FALLBACK_FAVICON_FOUND,
cellularoutfitter.com,https://cdn.shopify.com/s/files/1/2012/3181/files/co_favicon_84d7e170-271e-4029-9579-383e6f343ed4_32x32.png,FAVICON_FOUND,
meraki.com,https://meraki.cisco.com/,JSONLD_LOGO_FOUND,
trumpia.com,https://rs.trumpia.com/images/favicon32.png,FAVICON_FOUND,
pgi.com,,FAILURE,"Cannot connect to host pgi.com:443 ssl:False [nodename nor servname provided, or not known]"
sonyentertainmentnetwork.com,,FAILURE,
myway.com,https://myway.com/static/icons/myway.com.ico,FAVICON_FOUND,
3dissue.com,https://static.3dissue.com/images/logos/main.jpg,JSONLD_LOGO_FOUND,
